sentence,sentiment,impact,sentiments,impacts,batch,film_title
I can see it won't be long till that warning time is expanded even more. ,Neutral,Shift in Knowledge,['Positive' 'Neutral' 'Neutral'],['Shift in Knowledge' 'Shift in Knowledge' 'Interest with Science Topic'],1,SuperTornado: Anatomy of a Megadisaster
Very dry and unimaginative........... ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster
It's basically brand new and has the new Juno pics of Jupiter's poles. ,Neutral,Impersonal Report,['Positive' 'Neutral' 'Neutral'],['Shift in Knowledge' 'Impersonal Report' 'Impersonal Report'],1,The Jupiter Enigma
It seemed a bit repetitive. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun
The butterfly people the children were seeing sounded like. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Personal Opinion' 'Not applicable' 'Not applicable'],1,SuperTornado: Anatomy of a Megadisaster
 I didn't watch it past 4 minutes. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun
Scary and fascinating. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
Some interesting ideas on how to tackle the necessary cleanup of older satellites still in orbit and how to manage future satellite decommissioning. ,Positive,TBD,['Positive' 'Positive' 'Neutral'],['Shift in Knowledge' 'Interest with Science Topic' 'Impersonal Report'],1,Space Junk
Fittingly at the very end of this production you can hear my father's name read. ,Positive,Not applicable,['Positive' 'Neutral' 'Positive'],['Personal Opinion' 'Not applicable' 'Impersonal Report'],1,SuperTornado: Anatomy of a Megadisaster
That's something YouTube never managed to do. ,Neutral,Not applicable,['Negative' 'Neutral' 'Neutral'],['Personal Opinion' 'Not applicable' 'Not applicable'],1,Seeing the Beginning of Time
"If you're already interested in space technology and are just looking for the information, as a starting point to see what to read more about, then you might call this a 3-start film. ",Neutral,Engagement with Film,['Neutral' 'Neutral' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],1,Seeing the Beginning of Time
"I hear about school textbooks having many errors  --  I would have hoped for better from this ""expensive"" documentary. ",Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Shift in Knowledge'],1,Seeing the Beginning of Time
It explores many newer concepts with HD pictures and SUPER COMPUTER simulations. ,Positive,TBD,['Positive' 'Positive' 'Neutral'],['Shift in Knowledge' 'Interest with Science Topic' 'Impersonal Report'],1,Seeing the Beginning of Time
It was ok. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
"AMAZON PRIME VIDEO Everything about this documentary is first class, from the narration, to the sectioning and progression, and the visuals. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma
was ok ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Personal Opinion' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
"For sure, plenty of information was presented on Jupiter itself, much apparently derived from Juno. ",Neutral,Impersonal Report,['Positive' 'Neutral' 'Neutral'],['Shift in Knowledge' 'Impersonal Report' 'Impersonal Report'],1,The Jupiter Enigma
This movie was very informative and very enlightening if you are interested in tornadoes and other disasters and the effects that it has on society. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'],1,SuperTornado: Anatomy of a Megadisaster
Item as described and shipped promptly Recommend to all A+++ Thanks ,Positive,Not applicable,['Positive' 'Neutral' 'Positive'],['Not applicable' 'Not applicable' 'Engagement with Film'],1,Space Junk
Informative but dry. ,Positive,Shift in Knowledge,['Negative' 'Neutral' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Shift in Knowledge'],1,SuperTornado: Anatomy of a Megadisaster
Shows how far technology has come. ,Positive,Impersonal Report,['Positive' 'Positive' 'Neutral'],['Shift in Knowledge' 'Interest with Science Topic' 'Impersonal Report'],1,SuperTornado: Anatomy of a Megadisaster
but 37 mins long not bad ,Positive,TBD,['Positive' 'Neutral' 'Positive'],['Engagement with Film' 'Not applicable' 'Personal Opinion'],1,Space Junk
"Has the general feel of a film you might see in a high school science class, so not too exciting. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],1,Seeing the Beginning of Time
"good quality, fast delivery, 3D player and TV required ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk
" Maybe the author was trying to say that the ""red shift"" has been shown to be larger for more distant objects, thus indicating that the expansion is accelerating, but if that is what they meant, then it should be been worded correctly. ",Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Shift in Knowledge'],1,Seeing the Beginning of Time
 Who will pay? ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Interest with Science Topic'],1,SuperTornado: Anatomy of a Megadisaster
"Old-timers knew to turn on their TV on UHF channels and noticed the fuz on the screen change radically when a tornado was close and I have noticed the ""white noise"" level peg my meter on my CB radio just before being hit by one! ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",1,SuperTornado: Anatomy of a Megadisaster
"At another point, there is a discussion about five planets that had existed, orbiting our sun, inside the orbit of Jupiter. ",Neutral,Impersonal Report,['Positive' 'Neutral' 'Neutral'],['Shift in Knowledge' 'Impersonal Report' 'Impersonal Report'],1,The Jupiter Enigma
"As with many so called documentaries that focus on astronomy in recent years, they present more conjecture and assumption than actual fact; throwing around contradictory ideas and arbitrary numbers doesn't impress me;  a real documentary presents known facts, and lets the viewer decide the rest for themselves... ",Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'],1,The Jupiter Enigma
"Space intrigues me greatly, and this was an amazing program. ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",1,Seeing the Beginning of Time
Poor sound editing combined with his weak and feckless narration made this otherwise fascinating topic less than captivating to say the least. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Birth of Planet Earth
She may've narrated other STEM shows I've watched... ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Engagement with Film' 'Not applicable'],1,Seeing the Beginning of Time
 Each number is given special emphasis conveying the mysticism of boffins and their abstruse methods. ,Negative,Engagement with Film,['Negative' 'Neutral' 'Negative'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,Seeing the Beginning of Time
But the narrator is quite dull to listen to as are the other people who provide some commentary. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk
The speaker sounds exactly like a monotone Cortana but with no excitement for the topic at hand not does she show emphasis during different scenes. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
I had seen parts of it on various TV shows about space. ,Neutral,Impersonal Report,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Impersonal Report' 'Interest with Science Topic'],1,Space Junk
It was a decent documentary ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun
It was good! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
"But if would want to learn something, watch the Nova series ""The Planets and another reviewer mention and I agree with it. ",Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],1,Birth of Planet Earth
"If you're looking for a 3D experience, I say you need to look elsewhere. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk
Five stars. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
Very informative. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
 Definitely better that his breathy pontificating voice. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma
Good ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
I find this understanding comforting. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Shift in Knowledge']",1,SuperTornado: Anatomy of a Megadisaster
" On a scientific level, it was excellent as well. ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster
It seemed there wasn't much video if any of the actual tornado itself in this documentary. ,Negative,Engagement with Film,['Negative' 'Negative' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],1,SuperTornado: Anatomy of a Megadisaster
"Great documentary, and you'll love the narrator's voice. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun
This planet has 2.5 times the mass of all the other planets in our solar system. ,Positive,Impersonal Report,['Positive' 'Neutral' 'Positive'],['Shift in Knowledge' 'Impersonal Report' 'Interest with Science Topic'],1,The Jupiter Enigma
 The voice over was so dry and uninteresting. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
The animation that shows how these storms form was terrific. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
" Then I went back, turned off the audio and enabled the captions. ",Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Impersonal Report' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma
The subject is interesting. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",1,SuperTornado: Anatomy of a Megadisaster
interesting ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",1,SuperTornado: Anatomy of a Megadisaster
"Coupled with the unreal gorgeous imagery of Jupiter itself, it's a feast for the eyes. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma
But this is actually not quite the sequel I was looking for. ,Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",1,The Jupiter Enigma
It's a decent documentary. ,Neutral,Engagement with Film,['Positive' 'Neutral' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
 Something said two years ago may already be obsolete. ,Neutral,Not applicable,['Negative' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Not applicable'],1,The Jupiter Enigma
The visualizations alone convinced enough to watch the full credits. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
Great space doc! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma
This movie was very well made and I understand it so much better now. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
A must watch! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma
Terrific ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
Excellent info! ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Not applicable'],1,SuperTornado: Anatomy of a Megadisaster
"There  was good information,  but the narration was bad. ",Positive,Shift in Knowledge,['Positive' 'Positive' 'Negative'],['Shift in Knowledge' 'Shift in Knowledge' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
Good show. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
 Lets be perfectly safe. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Not applicable'],1,SuperTornado: Anatomy of a Megadisaster
Good document. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
"Informative, easy to follow, and nice to look at! ",Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Engagement with Film'],1,Birth of Planet Earth
Beautiful visualizations :) ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
But I like shows about the mysteries of the universe and strange occurrences like solar storms. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Interest with Science Topic'
 'Interest with Science Topic']",1,Solar Superstorms: Journey to the Center of the Sun
BORING ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
The narrator almost sounds like an automated voice system. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
"Not what i expected, but vety informative. ",Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Interest with Science Topic' 'Shift in Knowledge' 'Shift in Knowledge'],1,SuperTornado: Anatomy of a Megadisaster
 Just does not have the impact needed for such a dynamic topic. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
" What a beautiful message the people of Joplin, and all of the others who came to help, have sent to the world! ",Positive,Not applicable,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Interest with Science Topic' 'Not applicable'],1,SuperTornado: Anatomy of a Megadisaster
4-stars. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,The Jupiter Enigma
I think I expected more not bad though ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
It is quite a short film but any space fan will like it. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,Space Junk
 Really? ,Negative,Not applicable,['Negative' 'Negative' 'Neutral'],['Impersonal Report' 'Not applicable' 'Not applicable'],1,SuperTornado: Anatomy of a Megadisaster
"I expected more actual footage of the tornado, not so much prior occasions of tornado damage. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
It's kinda like listening to Data from Star Trek except not as exciting. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
I really wanted to watch this but I couldn't watch more than 10 minutes. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
Got interrupted so didn't see last 3rd. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Not applicable'],1,SuperTornado: Anatomy of a Megadisaster
" So, I got a little bored and like someone else who reviews, since I watch these before going to sleep, if I get bored, then that means I'll struggle to stay awake. ",Negative,Engagement with Film,['Negative' 'Neutral' 'Negative'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,The Jupiter Enigma
Being called: Pointless is flattering ,Negative,Not applicable,['Negative' 'Neutral' 'Negative'],['Engagement with Film' 'Not applicable' 'Not applicable'],1,The Jupiter Enigma
Great3d reception. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk
I never expected this from just some documentary that's free on amazon prime. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
The documentary was interesting but presented little new material. ,Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Interest with Science Topic' 'Shift in Knowledge'],1,SuperTornado: Anatomy of a Megadisaster
Love me some tornadoes ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",1,SuperTornado: Anatomy of a Megadisaster
"In fact, I had bought this movie in a 2D format, I would have rated it much higher. ",Neutral,Engagement with Film,['Neutral' 'Negative' 'Neutral'],['Impersonal Report' 'Engagement with Film' 'Engagement with Film'],1,Space Junk
interesting ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster
Spectacular footage and good solid science ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun
3D sound great also. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk
I saw a review that stated this is outdated. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Not applicable'],1,The Jupiter Enigma
 It is a pretty good documentary. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
Not to mention they are trying to fit the science to the evidence. ,Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'],1,The Jupiter Enigma
"The video goes into detail about how tornadoes are formed and, in particular, the EF5 that devastated Joplin, Missouri in the late spring of 2011  interviews with Joplin residents, city officials, and first responders make this story significantly poignant. ",Positive,Impersonal Report,['Positive' 'Positive' 'Neutral'],['Shift in Knowledge' 'Interest with Science Topic' 'Impersonal Report'],1,SuperTornado: Anatomy of a Megadisaster
 I found this very enjoyable to watch. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma
It was like revisiting the nineteen sixties. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
"Best of all, it is based upon a true story. ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Impersonal Report']",1,The Jupiter Enigma
"Thomas Lucas also produces SpaceRip on youtube, another place for space/science/junkies like me to to enjoy. ",Positive,Interest with Science Topic,['Neutral' 'Positive' 'Positive'],"['Impersonal Report' 'Interest with Science Topic'
 'Interest with Science Topic']",1,Seeing the Beginning of Time
"Interesting, well presented graphically and educational. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,Space Junk
Somewhat boring. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
Juno is incredible in what it's been able to show. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Shift in Knowledge' 'Interest with Science Topic'
 'Interest with Science Topic']",1,The Jupiter Enigma
 I'm not a scientist ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Not applicable'],1,The Jupiter Enigma
Average Joe ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable'],1,SuperTornado: Anatomy of a Megadisaster
I love documentaries about the weather. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",1,SuperTornado: Anatomy of a Megadisaster
"More of that restraint with science public outreach, please... ",Positive,Engagement with Film,['Negative' 'Neutral' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,Seeing the Beginning of Time
It was not what I expected but still a good documentary. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
It's really hard to stay interested. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster
"For the 3D effect, there are a few scenes where objects protrude from the screen into your room, but not enough to really impress. ",Negative,Engagement with Film,['Negative' 'Negative' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],1,Space Junk
" There are a number of things in this documentary on how to better build structures, houses, schools, hospitals, etc to help prevent a disaster of this magnitude from ever happening again. ",Neutral,Impersonal Report,['Positive' 'Neutral' 'Neutral'],['Shift in Knowledge' 'Impersonal Report' 'Impersonal Report'],1,SuperTornado: Anatomy of a Megadisaster
 I'd rate it 3.5 stars if I could! ,Neutral,Engagement with Film,['Negative' 'Neutral' 'Neutral'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun
Very informative and very educational. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Shift in Knowledge'],1,Solar Superstorms: Journey to the Center of the Sun
"Unfortunately, this term is a popular 'buzz' word which impresses (but misleads) the hoi-polloi. ",Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Shift in Knowledge'],1,Seeing the Beginning of Time
 A true giant. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Neutral'],['Shift in Knowledge' 'Engagement with Film' 'Not applicable'],1,The Jupiter Enigma
Could use more live footage. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
Good ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster
I found this documentary very interesting and informative. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Interest with Science Topic' 'Shift in Knowledge'],1,Seeing the Beginning of Time
I habe always been fasinated but tornados but never knew how they worked. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",1,SuperTornado: Anatomy of a Megadisaster
I'm not overstating the case by writing that they have played no small part in the revolution that is well documented here. ,Positive,Not applicable,['Positive' 'Negative' 'Positive'],['Interest with Science Topic' 'Not applicable' 'Not applicable'],1,Seeing the Beginning of Time
