equation,solution
-248*x - 958,-124*x**2 - 958*x
259*x + 498,259*x**2/2 + 498*x
643 - 780*x,-390*x**2 + 643*x
71*x - 439,71*x**2/2 - 439*x
790 - 108*x,-54*x**2 + 790*x
66 - 272*x,-136*x**2 + 66*x
-612*x - 186,-306*x**2 - 186*x
114*x + 777,57*x**2 + 777*x
-388*x - 728,-194*x**2 - 728*x
-854*x - 449,-427*x**2 - 449*x
357*x + 9,357*x**2/2 + 9*x
-855*x - 391,-855*x**2/2 - 391*x
546 - 897*x,-897*x**2/2 + 546*x
140 - 900*x,-450*x**2 + 140*x
901*x + 183,901*x**2/2 + 183*x
879*x - 385,879*x**2/2 - 385*x
902*x + 70,451*x**2 + 70*x
-769*x - 608,-769*x**2/2 - 608*x
855 - 691*x,-691*x**2/2 + 855*x
-59*x - 739,-59*x**2/2 - 739*x
-975*x - 350,-975*x**2/2 - 350*x
838*x + 815,419*x**2 + 815*x
186*x + 170,93*x**2 + 170*x
976 - 520*x,-260*x**2 + 976*x
934*x - 400,467*x**2 - 400*x
215*x + 332,215*x**2/2 + 332*x
241 - 773*x,-773*x**2/2 + 241*x
444*x + 950,222*x**2 + 950*x
704*x - 591,352*x**2 - 591*x
129*x + 138,129*x**2/2 + 138*x
-373*x - 423,-373*x**2/2 - 423*x
37*x - 196,37*x**2/2 - 196*x
225*x + 723,225*x**2/2 + 723*x
-890*x - 143,-445*x**2 - 143*x
846*x + 647,423*x**2 + 647*x
895*x - 86,895*x**2/2 - 86*x
619 - 603*x,-603*x**2/2 + 619*x
-377*x - 146,-377*x**2/2 - 146*x
-798*x - 804,-399*x**2 - 804*x
729*x - 861,729*x**2/2 - 861*x
776 - 543*x,-543*x**2/2 + 776*x
-432*x - 510,-216*x**2 - 510*x
374*x - 623,187*x**2 - 623*x
808*x + 388,404*x**2 + 388*x
568 - 993*x,-993*x**2/2 + 568*x
508*x + 824,254*x**2 + 824*x
-397*x - 939,-397*x**2/2 - 939*x
436 - 354*x,-177*x**2 + 436*x
-697*x - 611,-697*x**2/2 - 611*x
856 - 605*x,-605*x**2/2 + 856*x
866 - 104*x,-52*x**2 + 866*x
110*x - 275,55*x**2 - 275*x
324 - 781*x,-781*x**2/2 + 324*x
51*x - 686,51*x**2/2 - 686*x
689*x - 385,689*x**2/2 - 385*x
229*x + 619,229*x**2/2 + 619*x
344*x - 607,172*x**2 - 607*x
-41*x - 790,-41*x**2/2 - 790*x
437*x - 735,437*x**2/2 - 735*x
75*x - 665,75*x**2/2 - 665*x
926 - 672*x,-336*x**2 + 926*x
-246*x - 277,-123*x**2 - 277*x
394*x + 218,197*x**2 + 218*x
802 - 992*x,-496*x**2 + 802*x
-871*x - 215,-871*x**2/2 - 215*x
371*x - 685,371*x**2/2 - 685*x
703*x + 838,703*x**2/2 + 838*x
7*x + 842,7*x**2/2 + 842*x
-89*x - 789,-89*x**2/2 - 789*x
-515*x - 358,-515*x**2/2 - 358*x
588 - 752*x,-376*x**2 + 588*x
-825*x - 915,-825*x**2/2 - 915*x
92 - 28*x,-14*x**2 + 92*x
149*x + 346,149*x**2/2 + 346*x
-762*x - 226,-381*x**2 - 226*x
-206*x - 435,-103*x**2 - 435*x
937 - 789*x,-789*x**2/2 + 937*x
963*x - 788,963*x**2/2 - 788*x
-368*x - 633,-184*x**2 - 633*x
174*x - 673,87*x**2 - 673*x
119*x + 216,119*x**2/2 + 216*x
34 - 505*x,-505*x**2/2 + 34*x
78 - 148*x,-74*x**2 + 78*x
-240*x - 601,-120*x**2 - 601*x
-784*x - 539,-392*x**2 - 539*x
-502*x,-251*x**2
644 - 634*x,-317*x**2 + 644*x
47*x + 257,47*x**2/2 + 257*x
-302*x - 127,-151*x**2 - 127*x
-52*x - 30,-26*x**2 - 30*x
-442*x - 698,-221*x**2 - 698*x
-675*x - 711,-675*x**2/2 - 711*x
223*x - 136,223*x**2/2 - 136*x
234*x + 815,117*x**2 + 815*x
773*x + 769,773*x**2/2 + 769*x
563*x - 81,563*x**2/2 - 81*x
882*x - 661,441*x**2 - 661*x
-381*x - 824,-381*x**2/2 - 824*x
190 - 412*x,-206*x**2 + 190*x
599*x + 710,599*x**2/2 + 710*x
462*x + 522,231*x**2 + 522*x
814 - 740*x,-370*x**2 + 814*x
523*x - 183,523*x**2/2 - 183*x
27*x - 193,27*x**2/2 - 193*x
-218*x - 812,-109*x**2 - 812*x
338*x + 122,169*x**2 + 122*x
140 - 56*x,-28*x**2 + 140*x
581*x + 640,581*x**2/2 + 640*x
718*x + 997,359*x**2 + 997*x
722 - 736*x,-368*x**2 + 722*x
387 - 864*x,-432*x**2 + 387*x
705 - 528*x,-264*x**2 + 705*x
269*x - 393,269*x**2/2 - 393*x
937 - 164*x,-82*x**2 + 937*x
894*x + 981,447*x**2 + 981*x
334 - 850*x,-425*x**2 + 334*x
-821*x - 65,-821*x**2/2 - 65*x
270 - 380*x,-190*x**2 + 270*x
675 - 756*x,-378*x**2 + 675*x
-131*x - 797,-131*x**2/2 - 797*x
950*x - 536,475*x**2 - 536*x
-782*x - 827,-391*x**2 - 827*x
825*x + 324,825*x**2/2 + 324*x
188 - 976*x,-488*x**2 + 188*x
890*x - 625,445*x**2 - 625*x
872 - 390*x,-195*x**2 + 872*x
137*x - 37,137*x**2/2 - 37*x
-720*x - 516,-360*x**2 - 516*x
-540*x - 627,-270*x**2 - 627*x
107*x - 945,107*x**2/2 - 945*x
-423*x - 5,-423*x**2/2 - 5*x
-180*x - 744,-90*x**2 - 744*x
970*x - 851,485*x**2 - 851*x
85*x + 46,85*x**2/2 + 46*x
812*x - 472,406*x**2 - 472*x
122*x - 34,61*x**2 - 34*x
103*x - 909,103*x**2/2 - 909*x
274 - 868*x,-434*x**2 + 274*x
-715*x - 315,-715*x**2/2 - 315*x
479*x + 29,479*x**2/2 + 29*x
573*x - 273,573*x**2/2 - 273*x
407*x - 760,407*x**2/2 - 760*x
45*x + 38,45*x**2/2 + 38*x
252*x + 141,126*x**2 + 141*x
616*x + 744,308*x**2 + 744*x
507*x - 902,507*x**2/2 - 902*x
364*x + 930,182*x**2 + 930*x
36*x + 16,18*x**2 + 16*x
352 - 370*x,-185*x**2 + 352*x
815*x - 833,815*x**2/2 - 833*x
649 - 921*x,-921*x**2/2 + 649*x
556 - 611*x,-611*x**2/2 + 556*x
97*x - 733,97*x**2/2 - 733*x
817*x - 79,817*x**2/2 - 79*x
277*x + 743,277*x**2/2 + 743*x
411*x + 536,411*x**2/2 + 536*x
610*x + 102,305*x**2 + 102*x
559*x + 270,559*x**2/2 + 270*x
995 - 385*x,-385*x**2/2 + 995*x
464*x - 266,232*x**2 - 266*x
-862*x - 584,-431*x**2 - 584*x
-691*x - 618,-691*x**2/2 - 618*x
742*x + 452,371*x**2 + 452*x
300 - 420*x,-210*x**2 + 300*x
-960*x - 813,-480*x**2 - 813*x
485*x + 970,485*x**2/2 + 970*x
212*x + 877,106*x**2 + 877*x
819*x - 941,819*x**2/2 - 941*x
387*x + 753,387*x**2/2 + 753*x
136 - 765*x,-765*x**2/2 + 136*x
-579*x - 528,-579*x**2/2 - 528*x
221*x - 340,221*x**2/2 - 340*x
434*x - 911,217*x**2 - 911*x
85*x + 127,85*x**2/2 + 127*x
-225*x - 500,-225*x**2/2 - 500*x
503 - 475*x,-475*x**2/2 + 503*x
940*x - 475,470*x**2 - 475*x
802*x + 666,401*x**2 + 666*x
835 - 81*x,-81*x**2/2 + 835*x
547*x + 89,547*x**2/2 + 89*x
555*x - 798,555*x**2/2 - 798*x
923*x + 819,923*x**2/2 + 819*x
-958*x - 602,-479*x**2 - 602*x
213*x + 506,213*x**2/2 + 506*x
505*x + 363,505*x**2/2 + 363*x
946*x + 56,473*x**2 + 56*x
-840*x - 654,-420*x**2 - 654*x
233*x + 776,233*x**2/2 + 776*x
790 - 878*x,-439*x**2 + 790*x
-133*x - 195,-133*x**2/2 - 195*x
-904*x - 595,-452*x**2 - 595*x
2*x + 972,x**2 + 972*x
535 - 564*x,-282*x**2 + 535*x
671*x - 956,671*x**2/2 - 956*x
888*x + 46,444*x**2 + 46*x
327 - 788*x,-394*x**2 + 327*x
286*x + 852,143*x**2 + 852*x
241 - 332*x,-166*x**2 + 241*x
417*x - 13,417*x**2/2 - 13*x
-45*x - 599,-45*x**2/2 - 599*x
694 - 999*x,-999*x**2/2 + 694*x
789*x + 366,789*x**2/2 + 366*x
-133*x - 248,-133*x**2/2 - 248*x
2*x - 639,x**2 - 639*x
-128*x - 478,-64*x**2 - 478*x
311 - 352*x,-176*x**2 + 311*x
722 - 631*x,-631*x**2/2 + 722*x
